issueid,dekaid,year,category,issueno,lawids,fact,decision,isact,isexternalelements,isinternalelement,isintent,isneglect,iscause,isjustify,isexcuse,isguilty,isattempt,isattemptimpossible
1,1478/2528,2528,LB,1,"CC-288-00,CC-083-00,CC-063-00",จำเลยกับพวกร่วมกันใช้อาวุธปืนยิงผู้ตายถูกที่ด้านหลัง กระสุนปืนตัดบริเวณไขสันหลังขาด ผู้ตายเป็นอัมพาตตั้งแต่เอวจนจดเท้าและถึงแก่ความตายสืบเนื่องมาจากบาดแผลที่ถูกยิงและภาวะติดเชื้ออย่างรุนแรงหลังจากเกิดเหตุ 9 เดือนเศษ <discr>ดังนี้ผู้ตายถึงแก่ความตายสืบเนื่องมาจากบาดแผลที่ถูกยิง</discr> แม้จะเนื่องจากการรักษาไม่ดีจนบาดแผลติดเชื้อ <discr>ก็เป็นผลธรรมดาอันสืบเนื่องมาจากการกระทำของจำเลย</discr>,จำเลยจึงมีความผิดฐานฆ่าผู้ตายโดยเจตนา,1,1,1,1,-1,1,0,0,1,0,-1
2,1548/2531,2531,LB,1,CC-288-00,จำเลยที่ 1 ซึ่งเคยมีเรื่องทะเลาะกับผู้ตายมาก่อนใช้เหล็กตีที่หน้าผู้ตาย และใช้เหล็กแหลมแทงผู้ตายที่ช่องท้อง<discr>ซึ่งเป็นอวัยวะสำคัญ อาจเล็งเห็นผลได้ว่าทำให้ถึงตายได้</discr> และผู้ตายถึงแก่ความตายในเวลาต่อมา,จำเลยที่ 1 จึงมีความผิดฐานฆ่าผู้ตายโดยเจตนา,1,1,1,1,-1,1,0,0,1,0,-1
3,1548/2531,2531,LB,2,"CC-290-00,CC-083-00",ส่วนจำเลยที่ 2 ที่ 3 และที่ 4 นั้น ได้ความว่าก่อนเกิดเหตุ จำเลยทั้งสามวิ่งตามผู้ตาย และยืนล้อมผู้ตายในลักษณะคุมเชิงอยู่มีพยานเห็นมือใครผลักผู้ตายด้วย เมื่อจำเลยที่ 1 ผละออกจากผู้ตายจำเลยทั้งสามก็ตามไป แต่ก็ไม่ได้ความชัดว่าจำเลยทั้งสามได้ร่วมกันทำร้ายผู้ตายอย่างใดอีก ทั้งไม่ปรากฏว่าจำเลยทั้งสามมีอาวุธมาด้วยหรือมีสาเหตุโกรธเคืองร้ายแรงประการใดมาก่อนกับผู้ตาย,การที่จำเลยที่ 1 ใช้เหล็กแหลมแทงผู้ตายโดยเจตนาฆ่า จึงเป็นการกระทำของจำเลยที่ 1 แต่โดยลำพัง พฤติการณ์ของจำเลยทั้งสามเป็นเพียงแต่ร่วมกับจำเลยที่ 1 เพื่อไปทำร้ายผู้ตายเท่านั้นแต่การร่วมทำร้ายมีผลให้ผู้ตายถึงแก่ความตายจำเลยทั้งสามจึงมีความผิดฐานร่วมกันทำร้ายผู้อื่นจนเป็นเหตุให้ถึงแก่ความตาย,1,1,1,1,-1,1,0,0,1,0,-1
4,1548/2531,2531,LB,3,"CC-288-00,CC-083-00",ส่วนจำเลยที่ 2 ที่ 3 และที่ 4 นั้น ได้ความว่าก่อนเกิดเหตุ จำเลยทั้งสามวิ่งตามผู้ตาย และยืนล้อมผู้ตายในลักษณะคุมเชิงอยู่มีพยานเห็นมือใครผลักผู้ตายด้วย เมื่อจำเลยที่ 1 ผละออกจากผู้ตายจำเลยทั้งสามก็ตามไป แต่ก็ไม่ได้ความชัดว่าจำเลยทั้งสามได้ร่วมกันทำร้ายผู้ตายอย่างใดอีก ทั้งไม่ปรากฏว่าจำเลยทั้งสามมีอาวุธมาด้วยหรือมีสาเหตุโกรธเคืองร้ายแรงประการใดมาก่อนกับผู้ตาย,การที่จำเลยที่ 1 ใช้เหล็กแหลมแทงผู้ตายโดยเจตนาฆ่า จึงเป็นการกระทำของจำเลยที่ 1 แต่โดยลำพัง พฤติการณ์ของจำเลยทั้งสามเป็นเพียงแต่ร่วมกับจำเลยที่ 1 เพื่อไปทำร้ายผู้ตายเท่านั้นแต่การร่วมทำร้ายมีผลให้ผู้ตายถึงแก่ความตายจำเลยทั้งสามจึงมีความผิดฐานร่วมกันทำร้ายผู้อื่นจนเป็นเหตุให้ถึงแก่ความตาย,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
5,1697/2522,2522,LB,1,"CC-288-00,CC-083-00","โจทก์บรรยายฟ้องว่า จำเลยกับพวกที่ยังไม่ได้ตัวมาฟ้องมีเจตนาฆ่าผู้ตายโดยร่วมกันใช้อำนาจด้วยกำลังกายผลักผู้ตายให้ตกลงมาจากรถยนต์โดยสารสองแถวเล็กถึงแก่ความตายขอให้ลงโทษตามประมวลกฎหมายอาญา มาตรา 288,83 แม้ทางพิจารณาจะไม่ได้ความชัดว่าพวกของจำเลยผลักผู้ตายตกลงจากรถตามที่โจทก์ฟ้อง แต่การที่พวกของจำเลยใช้มือดึงมือผู้ตายมือต่อมือในขณะผู้ตายอยู่ท้ายรถ ไม่มีอะไรยึดเหนี่ยว ไม่ให้ตกลงไปจากรถ และขณะเดียวกันนั้นจำเลยขับรถพาผู้ตายไปด้วยความเร็วมาก <discr>ถ้ามือของผู้ตายหลุดจากมือของพวกจำเลยหรือพวกของจำเลยปล่อยมือผู้ตายไป ผู้ตายย่อมจะต้องเสียหลักตกจากรถและจะต้องได้รับอันตรายถึงแก่ความตายได้อย่างแน่นอน</discr> เหตุนี้การที่ผู้ตายหลุดจากมือของพวกจำเลยไม่ว่าจะเป็นโดยผู้ตายดึงหลุดหรือพวกของจำเลยปล่อยให้หลุด จนเป็นเหตุให้ผู้ตายตกลงจากรถในลักษณะนอนหงายท้ายทอยน่วม เลือดออกจากปากถึงแก่ความตาย <discr>จึงเป็นผลที่เกิดขึ้นโดยตรงจากการกระทำของจำเลยกับพวก เห็นได้ว่าเป็นการกระทำที่เล็งเห็นผลร้ายได้อย่างแน่ชัด</discr>",จึงเป็นการกระทำโดยมีเจตนาฆ่าผู้ตาย แม้ข้อเท็จจริงตามที่ปรากฏในการพิจารณาจะแตกต่างกับข้อเท็จจริงดังที่กล่าวในฟ้อง ก็มิใช่ข้อสารสำคัญ และทั้งจำเลยมิได้หลงข้อต่อสู้ ศาลจึงลงโทษจำเลยตามฟ้องโจทก์ได้,1,1,1,1,-1,1,0,0,1,0,-1
6,1436/2511,2511,LB,1,CC-291-00,เมื่อคดีฟังได้ว่า จำเลยขับรถด้วยความประมาทแล้ว แม้ผู้ตายจะกระโดดลงจากรถก่อน หากแต่ในระยะกระชั้นชิดกับภยันตรายที่จะเกิดขึ้น และในที่สุดได้เกิดขึ้น เพื่อหลีกเลี่ยงภยันตรายเฉพาะหน้านั้น <discr>ก็ยังต้องถือว่าการกระทำของผู้ตายเป็นผลอันเกิดใกล้ชิดและเนื่องมาจากเหตุขับรถประมาทของจำเลย</discr>,จำเลยจึงมีความผิดฐานทำให้คนตายโดยประมาท,1,1,1,-1,1,1,0,0,1,-1,-1
7,114/2510,2510,LB,1,CC-291-00,จำเลยไม่ได้ขับรถเร็ว และทางลากไม้ที่ขับมานั้นเป็นทางจำกัดบังคับให้ขับโดยข้างหนึ่งเป็นคลอง อีกข้างหนึ่งเป็นเขา จะขับให้ห่างคลองไปอีกไม่ได้เพราะติดเขา การที่ล้อพ่วงเอียงนั้นก็เนื่องจากที่ตรงนั้น เป็นหลุม เอาหินกองไว้ หินแตก เป็นเหตุให้ระดับล้อที่ผ่านไปทรุดต่ำลงและรถคันที่จำเลยขับก็ไม่ได้คว่ำ ถ้าผู้ตายไม่ด่วนตัดสินใจกระโดดจากรถเหมือนคนอื่น<discr>ก็คงไม่ได้รับอันตรายแต่อย่างใด</discr>,ดังนี้หาใช่ความประมาท ของจำเลยไม่,1,1,0,-1,0,-1,-1,-1,0,-1,-1
8,3090/2527,2527,LB,1,CC-288-00,<discr>กรณีจะเป็นความผิดฐานฆ่าเจ้าพนักงานซึ่งกระทำการตามหน้าที่ตามประมวลกฎหมายอาญา มาตรา 289(2) นั้น ต้องเป็นกรณีฆ่าเจ้าพนักงานซึ่งกำลังกระทำการตามหน้าที่อย่างใดอย่างหนึ่ง</discr> ผู้ตายมีหน้าที่เป็นสิบเวร และกำลังดูโทรทัศน์อยู่ในเต็นท์พักผ่อนขณะจำเลยกับพวกเข้ามาทำร้ายและฆ่า ผู้ตายมิได้กำลังกระทำการอย่างหนึ่งอย่างใดตามหน้าที่ ,ไม่เป็นการฆ่าเจ้าพนักงานซึ่งกระทำการตามหน้าที่,1,1,1,1,-1,1,0,0,1,0,-1
9,3090/2527,2527,LB,2,CC-289(2)-00,<discr>กรณีจะเป็นความผิดฐานฆ่าเจ้าพนักงานซึ่งกระทำการตามหน้าที่ตามประมวลกฎหมายอาญา มาตรา 289(2) นั้น ต้องเป็นกรณีฆ่าเจ้าพนักงานซึ่งกำลังกระทำการตามหน้าที่อย่างใดอย่างหนึ่ง</discr> ผู้ตายมีหน้าที่เป็นสิบเวร และกำลังดูโทรทัศน์อยู่ในเต็นท์พักผ่อนขณะจำเลยกับพวกเข้ามาทำร้ายและฆ่า ผู้ตายมิได้กำลังกระทำการอย่างหนึ่งอย่างใดตามหน้าที่ ,ไม่เป็นการฆ่าเจ้าพนักงานซึ่งกระทำการตามหน้าที่,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
10,59/2502,2502,LB,1,CC-288-00,จำเลยใช้ปืนจ่อยิงผู้ตายที่สบักอันเป็นที่สำคัญโดยเชื่อว่าเป็นคนอยู่ยงคงกะพัน,ถือว่า จำเลยมีความผิดฐานฆ่าคนโดยเจตนา,1,1,1,1,-1,1,0,0,1,0,-1
